Name,Availability,Regular Price,Special Price,Description
,,"
                    $1,105.00                ,
                    $650.00                ,
                    $1,800.00                ,
                    $650.00                ,
                    $1,100.00                ,
                    $1,889.00                ,
                    $1,339.00                ,
                    $1,099.00                ,
                    $879.00                ,
                    $649.00                ,
                    $879.00                ,
                    $769.00                ,
                    $879.00                ,
                    $1,099.00                ,
                    $1,099.00                ,
                    $879.00                ","
                    $1,000.00                ,
                    $569.00                ,
                    $1,600.00                ,
                    $569.00                ,
                    $1,000.00                ,
                    $1,599.00                ,
                    $1,199.00                ,
                    $1,049.00                ,
                    $829.00                ,
                    $599.00                ,
                    $829.00                ,
                    $719.00                ,
                    $829.00                ,
                    $849.00                ,
                    $999.00                ,
                    $679.00                ",
,,"
                    $1,889.00                ,
                    $1,339.00                ,
                    $1,099.00                ,
                    $879.00                ,
                    $649.00                ,
                    $879.00                ,
                    $769.00                ,
                    $879.00                ,
                    $1,099.00                ,
                    $1,099.00                ,
                    $879.00                ,
                    $1,105.00                ,
                    $650.00                ,
                    $1,800.00                ,
                    $650.00                ,
                    $1,100.00                ","
                    $1,599.00                ,
                    $1,199.00                ,
                    $1,049.00                ,
                    $829.00                ,
                    $599.00                ,
                    $829.00                ,
                    $719.00                ,
                    $829.00                ,
                    $849.00                ,
                    $999.00                ,
                    $679.00                ,
                    $1,000.00                ,
                    $569.00                ,
                    $1,600.00                ,
                    $569.00                ,
                    $1,000.00                ",
,,"
                    $1,105.00                ,
                    $650.00                ,
                    $950.00                ,
                    $700.00                ,
                    $1,225.00                ,
                    $1,800.00                ,
                    $3,200.00                ,
                    $2,550.00                ,
                    $2,550.00                ,
                    $2,550.00                ,
                    $2,125.00                ,
                    $4,800.00                ,
                    $3,925.00                ,
                    $3,925.00                ,
                    $4,125.00                ,
                    $570.00                ,
                    $585.00                ,
                    $5,100.00                ,
                    $2,250.00                ,
                    $4,650.00                ,
                    $2,175.00                ,
                    $2,300.00                ,
                    $1,300.00                ,
                    $3,200.00                ,
                    $2,700.00                ,
                    $1,800.00                ,
                    $2,600.00                ,
                    $650.00                ,
                    $1,600.00                ,
                    $600.00                ,
                    $1,100.00                ,
                    $2,125.00                ,
                    $4,850.00                ,
                    $1,900.00                ,
                    $1,100.00                ,
                    $2,500.00                ,
                    $3,650.00                ,
                    $2,700.00                ,
                    $920.00                ,
                    $1,500.00                ,
                    $1,425.00                ,
                    $1,500.00                ","
                    $1,000.00                ,
                    $569.00                ,
                    $799.00                ,
                    $599.00                ,
                    $950.00                ,
                    $1,500.00                ,
                    $2,000.00                ,
                    $1,750.00                ,
                    $1,750.00                ,
                    $1,999.00                ,
                    $1,749.00                ,
                    $2,999.00                ,
                    $2,500.00                ,
                    $2,500.00                ,
                    $2,500.00                ,
                    $470.00                ,
                    $550.00                ,
                    $3,600.00                ,
                    $1,750.00                ,
                    $3,650.00                ,
                    $1,999.00                ,
                    $1,850.00                ,
                    $1,149.00                ,
                    $2,700.00                ,
                    $2,300.00                ,
                    $1,600.00                ,
                    $2,100.00                ,
                    $569.00                ,
                    $1,450.00                ,
                    $550.00                ,
                    $1,000.00                ,
                    $1,600.00                ,
                    $4,350.00                ,
                    $1,700.00                ,
                    $1,000.00                ,
                    $2,000.00                ,
                    $3,000.00                ,
                    $2,300.00                ,
                    $849.00                ,
                    $1,250.00                ,
                    $1,250.00                ,
                    $1,350.00                ",
,,,,
Trek 7.2 FX,In stock,,,"Our best-selling, commuter-friendly bike!"
2015 Trek Lync 5,In stock,"
                    $1,339.00                ","
                    $1,199.00                ","A purpose-built, streetwise commuter with surprising new features "
2015 Giant Escape 1,In stock,"
                    $650.00                ","
                    $569.00                ",Performance and value go hand in hand
,,,,
,,,,
2016 Giant FastRoad CoMax 1,In stock,"
                    $1,800.00                ","
                    $1,600.00                ",City bike + Composite frame + disc brakes = quickest ride in town!
